class	carn	carn	carn	carn	carn	carn	carn	carn	carn	herb	herb	herb	herb	herb	herb	herb	herb	herb	herb	omni	omni	omni	omni	omni	omni	omni	omni	omni	omni
subclass	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA
subject	SRR11927435	SRR11927436	SRR11927437	SRR11927438	SRR11927439	SRR11927440	SRR11927441	SRR11927452	SRR11927463	SRR11927453	SRR11927454	SRR11927455	SRR11927456	SRR11927457	SRR11927458	SRR11927459	SRR11927460	SRR11927461	SRR11927462	SRR11927442	SRR11927443	SRR11927444	SRR11927445	SRR11927446	SRR11927447	SRR11927448	SRR11927449	SRR11927450	SRR11927451
WP_007561100	0.0	0.0	0.0	0.0	0.0	0.0	363.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_007832894	0.0	0.0	0.0	0.0	0.0	0.0	342.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_007832982	0.0	0.0	0.0	0.0	0.0	0.0	393.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_007835166	0.0	0.0	0.0	0.0	0.0	0.0	319.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_007836580	0.0	0.0	0.0	0.0	0.0	0.0	244.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_007838864	0.0	0.0	0.0	0.0	0.0	0.0	315.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_007838869	0.0	0.0	0.0	0.0	0.0	0.0	356.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_007848853	0.0	0.0	0.0	0.0	0.0	0.0	397.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_008142748	0.0	0.0	0.0	0.0	0.0	0.0	387.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_008145478	0.0	79.0	0.0	97.0	23.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
